Season,Date,Team,Opponent,Is_Home,Game_Number_Team,Game_Number_Opp,Team_ORtg_avg,Team_DRtg_avg,Team_NetRtg_avg,Team_Pace_avg,Team_WinPct_avg,Team_eFG%_avg,Team_TOV%_avg,Team_ORB%_avg,Team_FT/FGA_avg,Team_TS%_avg,Team_TRB%_avg,Team_AST%_avg,Team_STL%_avg,Team_BLK%_avg,Team_NetRtg_last5,Team_NetRtg_last10,Team_WinPct_last5,Team_WinPct_last10,Team_Points_For_avg,Team_Points_Against_avg,Team_Current_Win_Streak,Team_Current_Loss_Streak,Team_Home_WinPct,Team_Away_WinPct,Team_Days_Rest,Team_Is_BackToBack,Opp_ORtg_avg,Opp_DRtg_avg,Opp_NetRtg_avg,Opp_Pace_avg,Opp_WinPct_avg,Opp_eFG%_avg,Opp_TOV%_avg,Opp_ORB%_avg,Opp_FT/FGA_avg,Opp_TS%_avg,Opp_TRB%_avg,Opp_AST%_avg,Opp_STL%_avg,Opp_BLK%_avg,Opp_NetRtg_last5,Opp_NetRtg_last10,Opp_WinPct_last5,Opp_WinPct_last10,Opp_Points_For_avg,Opp_Points_Against_avg,Opp_Current_Win_Streak,Opp_Current_Loss_Streak,Opp_Home_WinPct,Opp_Away_WinPct,Opp_Days_Rest,Opp_Is_BackToBack,Team_Score,Opp_Score,Result,OT,NetRtg_Diff,ORtg_Diff,DRtg_Diff,WinPct_Diff,NetRtg_Diff_last5,WinPct_Diff_last5,NetRtg_Diff_last10,WinPct_Diff_last10,eFG%_Diff,TOV%_Diff,ORB%_Diff,FT/FGA_Diff,Pace_Diff,Rest_Advantage,Win_Streak_Diff
2015-16,2015-10-27,ATL,DET,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,0,1,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0,1,94,106,0,0,,,,,,,,,,,,,,0,0
2015-16,2015-10-27,CHI,CLE,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,0,1,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0,1,97,95,1,0,,,,,,,,,,,,,,0,0
2015-16,2015-10-27,GSW,NOP,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,0,1,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0,1,111,95,1,0,,,,,,,,,,,,,,0,0
2015-16,2015-10-28,BKN,CHI,1,1,2,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,0,1,97.0,95.0,2.0,100.0,1.0,0.47,11.8,15.2,0.18,0.5,48.5,35.1,6.0,15.4,2.0,2.0,1.0,1.0,97.0,95.0,1,0,,0.0,1,0,100,115,0,0,,,,,,,,,,,,,,-1,-1
2015-16,2015-10-28,BOS,PHI,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,0,1,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0,1,112,95,1,0,,,,,,,,,,,,,,0,0
2015-16,2015-10-28,CHA,MIA,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,0,1,94,104,0,0,,,,,,,,,,,,,,0,0
2015-16,2015-10-28,CLE,MEM,0,2,1,95.0,97.0,-2.0,100.0,0.0,0.45,9.8,21.6,0.11,0.47,51.5,68.4,5.0,10.3,-2.0,-2.0,0.0,0.0,95.0,97.0,0,1,,0.0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,0,1,106,76,1,0,,,,,,,,,,,,,,1,0
2015-16,2015-10-28,DAL,PHX,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,0,1,111,95,1,0,,,,,,,,,,,,,,0,0
2015-16,2015-10-28,DEN,HOU,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,0,1,105,85,1,0,,,,,,,,,,,,,,0,0
2015-16,2015-10-28,DET,UTA,1,2,1,111.2,98.6,12.6,95.3,1.0,0.45,12.3,41.1,0.21,0.49,59.6,62.2,5.2,5.5,12.6,12.6,1.0,1.0,106.0,94.0,1,0,0.0,,1,0,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0,1,92,87,1,0,,,,,,,,,,,,,,1,1
2015-16,2015-10-28,IND,TOR,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,0,1,99,106,0,0,,,,,,,,,,,,,,0,0
